title,author,pub_time,star,style,long_time
倩女幽魂,"张国荣,王祖贤,午马",2011-04-30,9.2,"爱情,奇幻,古装",98
哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011-08-04,9.0,"动作,惊悚,奇幻",130
本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国),8.8,"爱情,悬疑,奇幻",166
钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-09-25(法国),8.8,"传记,剧情,战争",150
触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02(法国),9.1,"传记,喜剧,剧情",112
熔炉,"孔刘,郑有美,金智英",2011-09-22(韩国),8.8,剧情,125
初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012-06-05,8.8,"喜剧,爱情",100
大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24,8.8,"喜剧,爱情,奇幻",110
新龙门客栈,"张曼玉,梁家辉,甄子丹",2012-02-24,8.8,"动作,古装,武侠",88
甜蜜蜜,"黎明,张曼玉,曾志伟",2015-02-13,9.2,"剧情,爱情",118
素媛,"李来,薛耿求,严志媛",2013-10-02(韩国),9.1,"剧情,家庭",123
小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1999-01-22(美国),9.1,"剧情,家庭",89
萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011-09-17(日本),9.0,"动画,奇幻,剧情",45
时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.9,"爱情,剧情,科幻",123
穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-09-12(英国),9.0,"剧情,战争",94
窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国),9.0,"剧情,悬疑",137
借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010-07-17(日本),8.8,"动画,奇幻,冒险",94
恐怖直播,"河正宇,李璟荣,李大为",2013-07-31(韩国),8.8,"动作,悬疑,犯罪",97
7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013-01-23(韩国),8.9,"剧情,喜剧,家庭",127
海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国),8.9,纪录片,92
忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987-08-01(日本),9.0,"剧情,家庭",107
上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002-08-30(巴西),8.9,"犯罪,剧情",130
辩护人,"宋康昊,郭度沅,吴达洙",2013-12-18(韩国),8.8,剧情,127
七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本),9.1,"动作,冒险,剧情",160
英雄本色,"狄龙,张国荣,周润发",2017-11-17,9.2,"剧情,动作,犯罪",96
一一,"吴念真,金燕玲,李凯莉",2000-09-20(法国),8.9,"爱情,家庭,剧情",173
完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24(美国),8.9,"犯罪,剧情,惊悚",138
海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011-08-12,9.0,纪录片,104
爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国),9.0,"剧情,家庭",80
黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966-12-23(意大利),8.9,"冒险,西部",161
我爱你,"宋在浩,李顺才,尹秀晶",2011-02-17(韩国),9.0,"爱情,剧情",118
迁徙的鸟,"雅克·贝汉,Philippe Labro",2001-12-12(法国),9.1,纪录片,98
阿飞正传,"张国荣,张曼玉,刘德华",2018-06-25,8.8,"剧情,爱情,犯罪",94
龙猫,"秦岚,糸井重里,岛本须美",2018-12-14,9.2,"动画,冒险,奇幻,家庭",86
