user,location,gender,followers,text,created_time,comments,good
林彦俊,上海,m,6411191,"一路跋涉，直到遇见“你”
谢谢一直都在的你们，刚好，一切的一切，都刚刚好。
#林彦俊首张EP##林彦俊刚好的伤口#
 
@QQ音乐：
http://t.cn/EGCv2mK
@酷狗音乐：
http://t.cn/EGCv2m6
@酷我音乐：
http://t.cn/EGCv2mo
@咪咕音乐：
http://t.cn/EG9u8cc ​",Mon Jan 07 08:26:20 +0800 2019,19568,54435
郭艾伦,辽宁,m,2768839,"不练武术…只打篮球…
18连…感谢你我他[摊手][摊手][摊手] ​",Sun Jan 06 22:18:46 +0800 2019,3611,28029
wu2198,广西 南宁,f,6293863,"一见看贴不回的，我就有拉黑的冲动！
http://t.cn/EG0Qls9 ​",Mon Jan 07 11:35:00 +0800 2019,1094,7491
穿帮君,北京 朝阳区,m,4877754,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈现在玩狼人杀都流行自曝身份了吗！！！我头都笑掉了！！！[允悲] http://t.cn/EG0G90x ​,Mon Jan 07 10:35:20 +0800 2019,5150,17265
孙红雷,北京 朝阳区,m,31114471,新年，温馨提示[并不简单][并不简单][并不简单] ​,Sun Jan 06 19:16:56 +0800 2019,2194,43468
丘寒,四川 成都,m,139527,哪怕一晚上就拍到这么一组也是值了！ http://t.cn/EGCgUov ​,Mon Jan 07 00:19:50 +0800 2019,1092,9181
阿粪青,广东,m,1549139,#烫出了钢丝球的效果# 泡面头烫出了钢丝球的效果 ​,Sun Jan 06 17:54:12 +0800 2019,8479,17750
猫眼大明星,北京,f,428550,"#猫眼大明星#独家专访#朱一龙[超话]# 。是什么契机让@朱一龙 饰演《知否》齐小公爷？没有杂念专心去饰演人物，去感受、去体验。更是自曝和小公爷相像之处[偷笑]
———“演员的根本就是拍好作品“
片尾的萌龙爆料生活小趣事，京城第一美男就很难，无敌可爱+演员魅力，居老师简直不要太帅！快👇正片围 ​",Mon Jan 07 12:05:31 +0800 2019,4734,12413
幸福姬,海外 美国,f,5395,What The Fu*k http://t.cn/EGoE9PI ​,Sun Jan 06 16:41:32 +0800 2019,2894,9194
全球健身中心,广东 广州,f,17935115,去年一个很火的减脂操30分钟完整版，大家都在练，跳30分钟等于运动二小时，坚持跳的都成功瘦了，你确定不坚持练吗！真的很有用，马住吧！！跳起来不费劲，试了不亏。 ​[加油]http://t.cn/EbbL5ie ​,Sun Jan 06 22:02:51 +0800 2019,285,4170
